route_id,agency_id,route_sort_order,route_short_name,route_long_name,route_service_name,route_desc,route_type,route_url,route_color,route_text_color,bikes_allowed
O,1,15,O,Route O,BROOKS:ERIN/SOUTH TRANSFER,Daily schedule trips operate at least every 60 minutes. Additional weekday trips operate at least every 30 minutes between Erin and Brooks.,3,http://www.cityofmadison.com/metro/routes-schedules/route-o,2272B5,FFFFFF,1
P,1,16,P,Route P,HAYES:EAST TOWNE,Daily schedule trips operate at least every 30 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-p,333366,FFFFFF,1
R,1,18,R,Route R,U.W. HOSPITAL/SQUARE:1-JUNCTION/2-SOUTH RIDGE,Daily schedule trips operate at least every 30 minutes. Evening and all-day Weekend/Holiday schedule trips do not operate between UW Hospital and Square.,3,http://www.cityofmadison.com/metro/routes-schedules/route-r,333366,FFFFFF,1
S,1,19,S,Route S,DOWNTOWN:SUN PRAIRIE,Daily schedule trips operate at least every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-s,2272B5,FFFFFF,1
W,1,23,W,Route W,WEST MAIN:SUN PRAIRIE,Weekday daytime schedule trips operate at least every 30 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-w,46AAD1,FFFFFF,1
28,1,28,28,Route 28,SHERMAN:UNIVERSITY ROW,Weekday schedule trips operate at least every 30 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-28,46AAD1,FFFFFF,1
38,1,38,38,Route 38,JENIFER:UNIVERSITY ROW,Weekday schedule trips operate at least every 30 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-38,46AAD1,FFFFFF,1
55,1,55,55,Route 55,JUNCTION:EPIC CAMPUS,Weekday peak hour schedule trips operate at least every 40 minutes both directions in the morning and afternoon.,3,http://www.cityofmadison.com/metro/routes-schedules/route-55,46AAD1,FFFFFF,1
65,1,65,65,Route 65,U.W. HOSPITAL:FITCHBURG,Weekday peak hour schedule trips operate at least every 30 minutes both directions in the morning and afternoon.,3,http://www.cityofmadison.com/metro/routes-schedules/route-65,46AAD1,FFFFFF,1
75,1,75,75,Route 75,SQUARE/CADDIS:EPIC CAMPUS,Weekday peak hour schedule trips operate at least every 40 minutes both directions in the morning and afternoon. Additional weekday peak hour trips operate at least every 30 minutes between Caddis and Epic.,3,http://www.cityofmadison.com/metro/routes-schedules/route-75,46AAD1,FFFFFF,1
80,1,80,80,Route 80,U.W. CAMPUS:MEMORIAL UNION,Daily schedule trips operate at least every 50 minutes. Additional weekday schedule trips operate at least every 15 minutes from approximately 7 AM until 6 PM. Limited trips operate on Holidays.,3,http://www.cityofmadison.com/metro/routes-schedules/route-80,2272B5,FFFFFF,1
81,1,81,81,Route 81,EAST JOHNSON:MEMORIAL UNION,Daily schedule trips operate regularly every 30 minutes from approximately 6 PM until 2 AM. No trips operate during Campus Recess or on Holidays.,3,http://www.cityofmadison.com/metro/routes-schedules/route-81,46AAD1,FFFFFF,1
82,1,82,82,Route 82,OBSERVATORY:MEMORIAL UNION,Daily schedule trips operate regularly every 30 minutes from approximately 6 PM until 2 AM. No trips operate during Campus Recess or on Holidays.,3,http://www.cityofmadison.com/metro/routes-schedules/route-82,46AAD1,FFFFFF,1
84,1,84,84,Route 84,EAGLE HEIGHTS:U.W. CAMPUS,Weekday schedule trips operate at least every 30 minutes from approximately 4 PM until 7 PM. Additional weekday schedule trips operate on Standard service days only from approximately 9 AM until 4 PM. No trips operate on Holidays.,3,http://www.cityofmadison.com/metro/routes-schedules/route-84,46AAD1,FFFFFF,1
60,1,90,60,East High Extras,EAST HIGH:NORTH MADISON,Weekday schedule trips operate limited service from approximately 7 AM until 8 AM and 3 PM until 5 PM. No trips operate during Public School Recess or on Public School Holidays.,3,https://www.cityofmadison.com/metro/routes-schedules,520298,FFFFFF,1
61,1,91,61,LaFollette High Extras,LAFOLLETTE HIGH:EAST MADISON,Weekday schedule trips operate limited service from approximately 7 AM until 8 AM and 3 PM until 5 PM. No trips operate during Public School Recess or on Public School Holidays.,3,https://www.cityofmadison.com/metro/routes-schedules,951F20,FFFFFF,1
62,1,92,62,Memorial High Extras,MEMORIAL HIGH:WEST MADISON,Weekday schedule trips operate limited service from approximately 7 AM until 8 AM and 3 PM until 5 PM. No trips operate during Public School Recess or on Public School Holidays.,3,https://www.cityofmadison.com/metro/routes-schedules,025806,FFFFFF,1
63,1,93,63,West High Extras,WEST HIGH:SOUTH MADISON,Weekday schedule trips operate limited service from approximately 7 AM until 8 AM and 3 PM until 5 PM. No trips operate during Public School Recess or on Public School Holidays.,3,https://www.cityofmadison.com/metro/routes-schedules,2E3192,FFFFFF,1
64,1,94,64,Capital High Extras,CAPITAL HIGH:EAST/WEST MADISON,Weekday schedule trips operate limited service from approximately 8 AM until 9 AM and 2 PM until 3 PM. No trips operate during Public School Recess or on Public School Holidays.,3,https://www.cityofmadison.com/metro/routes-schedules,8F9092,FFFFFF,1
